"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2021","355.42","360.50","361.13","354.69","193.04M","-1.41%"
"Apr 21, 2021","360.50","355.26","361.14","349.33","179.90M","1.47%"
"Apr 20, 2021","355.26","364.98","364.98","351.83","197.65M","-2.66%"
"Apr 19, 2021","364.98","365.19","368.80","361.58","146.05M","-0.06%"
"Apr 16, 2021","365.19","368.50","371.96","364.07","156.70M","-0.90%"
"Apr 15, 2021","368.50","371.78","371.78","367.04","157.45M","-0.88%"
"Apr 14, 2021","371.78","361.26","376.40","361.26","212.53M","2.91%"
"Apr 13, 2021","361.26","360.91","363.37","357.94","149.15M","0.10%"
"Apr 12, 2021","360.91","364.35","369.59","359.86","154.08M","-0.94%"
"Apr 09, 2021","364.35","366.17","369.25","362.24","151.43M","-0.50%"
"Apr 08, 2021","366.17","371.23","371.23","362.16","175.68M","-1.36%"
"Apr 07, 2021","371.23","369.60","372.77","368.63","157.86M","0.44%"
"Apr 06, 2021","369.60","370.57","377.47","369.24","172.36M","-0.26%"
"Apr 05, 2021","370.57","379.71","379.71","368.60","202.73M","-2.41%"
"Apr 01, 2021","379.71","369.89","379.77","369.89","235.55M","2.65%"
"Mar 31, 2021","369.89","373.35","373.82","369.07","171.68M","-0.93%"
"Mar 30, 2021","373.35","376.37","377.00","370.42","147.38M","-0.80%"
"Mar 29, 2021","376.37","381.18","381.18","371.93","161.77M","-1.26%"
"Mar 26, 2021","381.18","371.44","381.49","371.44","201.48M","2.62%"
"Mar 25, 2021","371.44","370.51","372.77","358.47","210.89M","0.25%"
"Mar 24, 2021","370.51","361.40","375.29","361.40","206.31M","2.52%"
"Mar 23, 2021","361.40","366.39","369.30","356.95","250.68M","-1.36%"
"Mar 22, 2021","366.39","370.11","370.63","365.91","195.33M","-1.01%"
"Mar 19, 2021","370.11","370.06","376.16","365.24","425.86M","0.01%"
"Mar 18, 2021","370.06","388.23","388.23","368.64","256.43M","-4.68%"
"Mar 17, 2021","388.23","384.62","389.49","380.45","200.41M","0.94%"
"Mar 16, 2021","384.62","395.81","395.81","382.39","211.46M","-2.83%"
"Mar 15, 2021","395.81","400.82","400.82","391.28","183.55M","-1.25%"
"Mar 12, 2021","400.82","400.11","404.35","397.84","168.56M","0.18%"
"Mar 11, 2021","400.11","399.80","406.81","399.28","199.33M","0.08%"
"Mar 10, 2021","399.80","389.54","401.39","389.01","244.24M","2.63%"
"Mar 09, 2021","389.54","397.13","400.56","387.92","257.80M","-1.91%"
"Mar 08, 2021","397.13","396.54","402.05","391.35","272.17M","0.15%"
"Mar 05, 2021","396.54","381.76","397.18","381.76","373.45M","3.87%"
"Mar 04, 2021","381.76","372.55","388.64","372.55","355.28M","2.47%"
"Mar 03, 2021","372.55","367.31","381.19","367.31","233.57M","1.43%"
"Mar 02, 2021","367.31","369.47","373.58","367.12","193.20M","-0.58%"
"Mar 01, 2021","369.47","360.19","374.61","360.19","216.49M","2.58%"
"Feb 26, 2021","360.19","368.66","368.66","349.88","281.66M","-2.30%"
"Feb 25, 2021","368.66","376.20","379.30","366.33","257.42M","-2.00%"
"Feb 24, 2021","376.20","362.97","378.11","362.47","290.99M","3.64%"
"Feb 23, 2021","362.97","357.22","364.20","348.27","271.62M","1.61%"
"Feb 22, 2021","357.22","345.23","362.24","345.23","261.98M","3.47%"
"Feb 19, 2021","345.23","339.66","346.43","339.61","170.76M","1.64%"
"Feb 18, 2021","339.66","347.55","347.55","338.81","174.77M","-2.27%"
"Feb 17, 2021","347.55","342.57","349.68","341.02","187.40M","1.45%"
"Feb 16, 2021","342.57","334.99","346.17","334.99","229.34M","2.26%"
"Feb 12, 2021","334.99","330.36","335.38","327.33","162.15M","1.40%"
"Feb 11, 2021","330.36","335.48","335.48","323.34","315.89M","-1.53%"
"Feb 10, 2021","335.48","329.41","335.90","328.52","229.53M","1.84%"
"Feb 09, 2021","329.41","334.50","334.50","325.28","225.82M","-1.52%"
"Feb 08, 2021","334.50","321.10","336.10","321.10","259.78M","4.17%"
"Feb 05, 2021","321.10","318.16","324.33","318.16","211.01M","0.92%"
"Feb 04, 2021","318.16","314.75","318.25","311.48","187.01M","1.08%"
"Feb 03, 2021","314.75","301.85","315.49","301.85","214.36M","4.27%"
"Feb 02, 2021","301.85","298.59","309.00","298.59","217.52M","1.09%"
"Feb 01, 2021","298.59","296.52","301.45","293.59","185.73M","0.70%"
"Jan 29, 2021","296.52","306.92","306.92","295.34","258.46M","-3.39%"
"Jan 28, 2021","306.92","303.22","310.51","303.15","231.89M","1.22%"
"Jan 27, 2021","303.22","307.50","311.64","298.22","283.15M","-1.39%"
"Jan 26, 2021","307.50","314.17","321.54","307.47","214.49M","-2.12%"
"Jan 25, 2021","314.17","317.54","317.54","308.56","229.19M","-1.06%"
"Jan 22, 2021","317.54","319.12","319.12","309.71","216.57M","-0.50%"
"Jan 21, 2021","319.12","330.47","330.47","316.20","258.29M","-3.43%"
"Jan 20, 2021","330.47","329.30","332.61","327.31","205.19M","0.36%"
"Jan 19, 2021","329.30","322.58","331.39","322.58","243.94M","2.08%"
"Jan 15, 2021","322.58","336.14","336.14","319.73","289.72M","-4.03%"
"Jan 14, 2021","336.14","326.33","339.85","326.33","272.77M","3.01%"
"Jan 13, 2021","326.33","328.98","329.45","323.89","224.07M","-0.81%"
"Jan 12, 2021","328.98","317.86","330.47","317.86","318.76M","3.50%"
"Jan 11, 2021","317.86","312.78","319.02","304.60","223.97M","1.62%"
"Jan 08, 2021","312.78","313.06","316.90","310.37","222.77M","-0.09%"
"Jan 07, 2021","313.06","308.45","316.10","308.13","244.00M","1.49%"
"Jan 06, 2021","308.45","299.49","311.37","299.49","387.81M","2.99%"
"Jan 05, 2021","299.49","286.50","307.14","286.50","321.56M","4.53%"
"Jan 04, 2021","286.50","286.14","291.67","283.30","209.08M","0.13%"
"Dec 31, 2020","286.14","288.48","288.48","284.80","155.51M","-0.81%"
"Dec 30, 2020","288.48","283.93","291.15","283.57","158.15M","1.60%"
"Dec 29, 2020","283.93","285.82","288.53","282.78","154.78M","-0.66%"
"Dec 28, 2020","285.82","287.38","292.42","285.09","150.76M","-0.54%"
"Dec 24, 2020","287.38","289.20","289.20","284.95","78.88M","-0.63%"
"Dec 23, 2020","289.20","283.04","293.23","283.04","184.67M","2.18%"
"Dec 22, 2020","283.04","288.06","288.22","282.80","190.72M","-1.74%"
"Dec 21, 2020","288.06","293.33","293.33","279.67","234.85M","-1.80%"
"Dec 18, 2020","293.33","298.33","299.61","291.33","393.78M","-1.68%"
"Dec 17, 2020","298.33","300.04","302.61","296.93","199.47M","-0.57%"
"Dec 16, 2020","300.04","301.23","303.29","297.90","215.14M","-0.40%"
"Dec 15, 2020","301.23","295.55","302.74","294.54","228.15M","1.92%"
"Dec 14, 2020","295.55","306.38","310.85","294.71","270.67M","-3.53%"
"Dec 11, 2020","306.38","309.95","309.95","302.24","226.59M","-1.15%"
"Dec 10, 2020","309.95","301.14","313.40","300.36","309.32M","2.93%"
"Dec 09, 2020","301.14","300.19","308.02","297.24","309.17M","0.32%"
"Dec 08, 2020","300.19","295.55","303.10","292.51","245.40M","1.57%"
"Dec 07, 2020","295.55","302.94","302.94","293.21","243.13M","-2.44%"
"Dec 04, 2020","302.94","287.34","302.96","287.34","310.19M","5.43%"
"Dec 03, 2020","287.34","284.30","290.82","282.74","265.42M","1.07%"
"Dec 02, 2020","284.30","275.62","288.69","273.78","254.70M","3.15%"
"Dec 01, 2020","275.62","274.42","283.30","274.42","250.28M","0.44%"
"Nov 30, 2020","274.42","289.99","289.99","273.82","387.77M","-5.37%"
"Nov 27, 2020","289.99","293.66","294.53","288.01","117.91M","-1.25%"
"Nov 25, 2020","293.66","300.95","300.95","292.42","243.06M","-2.42%"
"Nov 24, 2020","300.95","286.18","301.70","286.18","366.35M","5.16%"
"Nov 23, 2020","286.18","267.24","286.58","267.24","304.83M","7.09%"
"Nov 20, 2020","267.24","268.65","269.30","265.56","201.06M","-0.52%"
"Nov 19, 2020","268.65","264.60","269.29","260.02","234.03M","1.53%"
"Nov 18, 2020","264.60","272.44","275.69","264.58","295.40M","-2.88%"
"Nov 17, 2020","272.44","271.09","272.62","262.85","255.52M","0.50%"
"Nov 16, 2020","271.09","254.55","271.47","254.55","313.80M","6.50%"
"Nov 13, 2020","254.55","245.21","255.59","245.21","208.86M","3.81%"
"Nov 12, 2020","245.21","253.82","253.82","243.03","228.75M","-3.39%"
"Nov 11, 2020","253.82","255.97","258.86","251.46","265.50M","-0.84%"
"Nov 10, 2020","255.97","249.67","256.04","247.72","343.25M","2.52%"
"Nov 09, 2020","249.67","218.58","254.94","218.58","535.12M","14.22%"
"Nov 06, 2020","218.58","223.36","226.64","217.78","245.07M","-2.14%"
"Nov 05, 2020","223.36","223.45","227.92","223.26","279.36M","-0.04%"
"Nov 04, 2020","223.45","223.09","228.80","217.69","296.81M","0.16%"
"Nov 03, 2020","223.09","224.77","228.43","221.20","233.85M","-0.75%"
"Nov 02, 2020","224.77","216.82","227.45","215.95","282.45M","3.67%"
"Oct 30, 2020","216.82","216.41","217.17","211.94","299.64M","0.19%"
"Oct 29, 2020","216.41","209.69","217.07","204.51","286.98M","3.20%"
"Oct 28, 2020","209.69","218.92","218.92","208.74","322.09M","-4.22%"
"Oct 27, 2020","218.92","221.99","221.99","218.56","236.08M","-1.38%"
"Oct 26, 2020","221.99","229.96","229.96","219.76","249.30M","-3.47%"
"Oct 23, 2020","229.96","231.24","233.84","227.39","243.30M","-0.55%"
"Oct 22, 2020","231.24","222.01","231.62","221.13","283.06M","4.16%"
"Oct 21, 2020","222.01","226.51","226.51","221.99","255.68M","-1.99%"
"Oct 20, 2020","226.51","223.97","228.39","223.75","248.77M","1.13%"
"Oct 19, 2020","223.97","228.78","230.81","223.85","257.65M","-2.10%"
"Oct 16, 2020","228.78","234.18","234.18","228.58","241.74M","-2.31%"
"Oct 15, 2020","234.18","231.47","234.27","225.54","217.04M","1.17%"
"Oct 14, 2020","231.47","230.76","236.81","230.76","221.29M","0.31%"
"Oct 13, 2020","230.76","234.41","235.67","230.05","194.91M","-1.56%"
"Oct 12, 2020","234.41","233.68","235.16","230.57","183.84M","0.31%"
"Oct 09, 2020","233.68","237.46","240.14","233.34","219.98M","-1.59%"
"Oct 08, 2020","237.46","228.82","237.64","228.82","219.46M","3.78%"
"Oct 07, 2020","228.82","225.56","229.39","224.39","204.09M","1.45%"
"Oct 06, 2020","225.56","229.05","233.64","225.19","250.27M","-1.52%"
"Oct 05, 2020","229.05","222.55","229.05","222.55","209.13M","2.92%"
"Oct 02, 2020","222.55","220.36","224.28","214.35","275.50M","0.99%"
"Oct 01, 2020","220.36","227.49","227.49","219.05","306.60M","-3.13%"
"Sep 30, 2020","227.49","228.03","231.87","226.25","241.74M","-0.24%"
"Sep 29, 2020","228.03","234.42","234.42","225.63","244.34M","-2.73%"
"Sep 28, 2020","234.42","229.09","237.02","229.09","262.49M","2.33%"
"Sep 25, 2020","229.09","229.24","230.81","225.54","251.57M","-0.07%"
"Sep 24, 2020","229.24","229.05","233.26","224.26","250.68M","0.08%"
"Sep 23, 2020","229.05","239.96","241.58","228.93","238.96M","-4.55%"
"Sep 22, 2020","239.96","242.45","246.34","239.53","200.38M","-1.03%"
"Sep 21, 2020","242.45","250.65","250.65","238.44","265.96M","-3.27%"
"Sep 18, 2020","250.65","253.58","253.58","248.11","368.18M","-1.16%"
"Sep 17, 2020","253.58","253.06","253.67","246.57","237.66M","0.21%"
"Sep 16, 2020","253.06","243.22","256.27","243.22","298.94M","4.05%"
"Sep 15, 2020","243.22","245.09","248.94","242.58","230.52M","-0.76%"
"Sep 14, 2020","245.09","243.58","247.21","242.30","227.81M","0.62%"
"Sep 11, 2020","243.58","242.96","245.02","241.46","260.20M","0.26%"
"Sep 10, 2020","242.96","252.21","253.19","242.89","304.82M","-3.67%"
"Sep 09, 2020","252.21","250.67","255.07","250.67","244.22M","0.61%"
"Sep 08, 2020","250.67","260.32","260.32","247.85","338.17M","-3.71%"
"Sep 04, 2020","260.32","261.18","265.48","257.11","239.32M","-0.33%"
"Sep 03, 2020","261.18","262.95","267.82","259.48","277.05M","-0.67%"
"Sep 02, 2020","262.95","264.05","265.76","261.36","217.11M","-0.42%"
"Sep 01, 2020","264.05","266.50","266.50","261.13","186.31M","-0.92%"
"Aug 31, 2020","266.50","272.48","272.76","266.44","205.54M","-2.19%"
"Aug 28, 2020","272.48","267.52","272.94","267.10","173.57M","1.85%"
"Aug 27, 2020","267.52","266.85","269.13","264.15","189.10M","0.25%"
"Aug 26, 2020","266.85","272.94","272.94","266.71","172.97M","-2.23%"
"Aug 25, 2020","272.94","276.87","278.50","271.65","173.44M","-1.42%"
"Aug 24, 2020","276.87","269.45","278.71","269.45","185.18M","2.75%"
"Aug 21, 2020","269.45","271.15","271.15","267.01","188.24M","-0.63%"
"Aug 20, 2020","271.15","277.05","277.05","271.15","174.84M","-2.13%"
"Aug 19, 2020","277.05","280.29","281.42","276.34","166.58M","-1.16%"
"Aug 18, 2020","280.29","285.18","285.73","279.60","170.54M","-1.71%"
"Aug 17, 2020","285.18","286.99","286.99","283.49","192.97M","-0.63%"
"Aug 14, 2020","286.99","284.31","287.30","281.16","150.60M","0.94%"
"Aug 13, 2020","284.31","290.07","290.07","283.78","181.00M","-1.99%"
"Aug 12, 2020","290.07","288.55","293.31","287.00","225.02M","0.53%"
"Aug 11, 2020","288.55","289.24","298.49","287.31","272.67M","-0.24%"
"Aug 10, 2020","289.24","280.59","289.35","280.59","219.26M","3.08%"
"Aug 07, 2020","280.59","280.45","281.20","274.77","191.58M","0.05%"
"Aug 06, 2020","280.45","282.46","283.45","279.40","187.30M","-0.71%"
"Aug 05, 2020","282.46","279.51","285.83","279.51","247.72M","1.06%"
"Aug 04, 2020","279.51","272.81","280.16","271.88","235.12M","2.46%"
"Aug 03, 2020","272.81","272.09","274.29","269.88","251.41M","0.26%"
"Jul 31, 2020","272.09","273.99","273.99","266.58","285.58M","-0.69%"
"Jul 30, 2020","273.99","285.70","285.70","271.68","275.78M","-4.10%"
"Jul 29, 2020","285.70","279.73","285.74","278.78","195.16M","2.13%"
"Jul 28, 2020","279.73","284.71","285.62","279.18","187.98M","-1.75%"
"Jul 27, 2020","284.71","284.11","285.88","280.47","193.82M","0.21%"
"Jul 24, 2020","284.11","285.79","290.08","283.26","182.94M","-0.59%"
"Jul 23, 2020","285.79","286.39","287.26","282.39","210.89M","-0.21%"
"Jul 22, 2020","286.39","290.28","290.28","282.44","222.18M","-1.34%"
"Jul 21, 2020","290.28","273.46","292.24","273.46","339.84M","6.15%"
"Jul 20, 2020","273.46","278.27","280.39","273.45","295.08M","-1.73%"
"Jul 17, 2020","278.27","282.57","286.35","277.27","185.35M","-1.52%"
"Jul 16, 2020","282.57","284.02","286.25","278.67","162.72M","-0.51%"
"Jul 15, 2020","284.02","278.56","286.11","278.56","217.04M","1.96%"
"Jul 14, 2020","278.56","268.87","278.95","266.48","223.00M","3.60%"
"Jul 13, 2020","268.87","270.32","273.79","266.88","215.13M","-0.54%"
"Jul 10, 2020","270.32","261.81","270.52","260.78","212.90M","3.25%"
"Jul 09, 2020","261.81","275.17","275.17","261.64","250.62M","-4.86%"
"Jul 08, 2020","275.17","275.46","279.85","273.24","212.34M","-0.11%"
"Jul 07, 2020","275.46","284.51","284.51","275.12","206.81M","-3.18%"
"Jul 06, 2020","284.51","283.46","290.23","281.08","238.68M","0.37%"
"Jul 02, 2020","283.46","280.30","290.14","280.30","214.10M","1.13%"
"Jul 01, 2020","280.30","287.46","292.49","280.16","237.92M","-2.49%"
"Jun 30, 2020","287.46","281.26","289.17","276.11","249.36M","2.20%"
"Jun 29, 2020","281.26","277.30","283.59","276.95","222.40M","1.43%"
"Jun 26, 2020","277.30","287.39","287.39","276.29","295.46M","-3.51%"
"Jun 25, 2020","287.39","281.97","288.36","278.18","224.17M","1.92%"
"Jun 24, 2020","281.97","298.50","298.50","280.34","272.61M","-5.54%"
"Jun 23, 2020","298.50","298.27","303.25","297.56","229.72M","0.08%"
"Jun 22, 2020","298.27","296.40","298.94","291.79","207.96M","0.63%"
"Jun 19, 2020","296.40","301.45","310.53","296.40","468.66M","-1.68%"
"Jun 18, 2020","301.45","297.89","304.48","293.12","218.13M","1.20%"
"Jun 17, 2020","297.89","307.99","307.99","297.85","231.21M","-3.28%"
"Jun 16, 2020","307.99","299.54","314.21","299.54","299.98M","2.82%"
"Jun 15, 2020","299.54","299.28","302.76","283.60","296.98M","0.09%"
"Jun 12, 2020","299.28","291.39","306.81","291.19","311.76M","2.71%"
"Jun 11, 2020","291.39","321.81","321.81","290.91","373.96M","-9.45%"
"Jun 10, 2020","321.81","338.46","338.46","321.81","313.87M","-4.92%"
"Jun 09, 2020","338.46","351.06","351.06","334.02","346.56M","-3.59%"
"Jun 08, 2020","351.06","336.52","351.11","336.52","486.96M","4.32%"
"Jun 05, 2020","336.52","313.17","339.33","313.17","482.39M","7.46%"
"Jun 04, 2020","313.17","313.65","314.34","307.36","277.38M","-0.15%"
"Jun 03, 2020","313.65","304.37","314.83","304.37","267.73M","3.05%"
"Jun 02, 2020","304.37","296.50","304.72","296.50","269.62M","2.65%"
